"source_code","11","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539450.sql","d57ed066ad0736388dcee02b87e7d717","DB2","db2dict"
"node","110","100","10 DIC","ColumnFlow","2"
"node","111","100","9 DEATH_DATE","ColumnFlow","2"
"node","112","100","8 COUNTRY_KEY","ColumnFlow","2"
"node","113","100","7 CUST_NO","ColumnFlow","2"
"node","114","100","6 BUS_NAME","ColumnFlow","2"
"node","115","100","5 BIRTH_PLACE","ColumnFlow","2"
"node","116","100","4 BIRTH_NAME","ColumnFlow","2"
"node","117","100","3 BIRTH_DATE","ColumnFlow","2"
"node","118","100","2 SRC_SYS_ID","ColumnFlow","2"
"node","119","100","1 PARTY_KEY","ColumnFlow","2"
"node","120","40","PARTY_H","Table","1"
"node","121","120","VALID_TO","Column","1"
"node","122","120","VALID_FROM","Column","1"
"node","123","120","SRC_SYS_ID","Column","1"
"node","124","120","PARTY_KEY","Column","1"
"node","125","99","<55,7>MERGE UPDATE","MergeUpdate","2"
"node","126","125","15 SRC_ID","ColumnFlow","2"
"node","127","125","14 SHORT_NAME","ColumnFlow","2"
"node","128","125","13 RC","ColumnFlow","2"
"node","129","125","12 ICO","ColumnFlow","2"
"node","130","125","11 GENDER_KEY","ColumnFlow","2"
"node","131","125","10 FIRST_NAME","ColumnFlow","2"
"node","132","125","9 FAMILY_NAME","ColumnFlow","2"
"node","133","125","8 DIC","ColumnFlow","2"
"node","134","125","7 DEATH_DATE","ColumnFlow","2"
"node","135","125","6 COUNTRY_KEY","ColumnFlow","2"
"node","136","125","5 CUST_NO","ColumnFlow","2"
"node","137","125","4 BUS_NAME","ColumnFlow","2"
"node","138","125","3 BIRTH_PLACE","ColumnFlow","2"
"node","139","125","2 BIRTH_NAME","ColumnFlow","2"
"node","140","125","1 BIRTH_DATE","ColumnFlow","2"
"node","141","120","SRC_ID","Column","1"
"node","142","120","SHORT_NAME","Column","1"
"node","143","120","RC","Column","1"
"node","144","120","ICO","Column","1"
"node","145","120","GENDER_KEY","Column","1"
"node","146","120","FIRST_NAME","Column","1"
"node","147","120","FAMILY_NAME","Column","1"
"node","148","120","DIC","Column","1"
"node","149","120","DEATH_DATE","Column","1"
"node","150","120","COUNTRY_KEY","Column","1"
"node","151","120","CUST_NO","Column","1"
"node","152","120","BUS_NAME","Column","1"
"node","153","120","BIRTH_PLACE","Column","1"
"node","154","120","BIRTH_NAME","Column","1"
"node","155","120","BIRTH_DATE","Column","1"
"node","156","41","P_CURRENT_DATE","Parameter","1"
"node_attribute","3","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","4","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","5","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","6","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","6","sourceLocation","11"
"node_attribute","6","sourceEncoding","utf8"
"node_attribute","6","CONNECTION","db2dict"
"node_attribute","7","NODE_SCRIPT_POSITION","1,1"
"node_attribute","7","NODE_SCRIPT_STOP_POSITION","43,7"
